dimension,method,mse,mae,r2,spearman_rho,kendall_tau,pearson_r,best_judge_id,best_judge_train_r2
helpfulness,gam,1.1668970168733774,0.856478669428684,0.29599469589487426,0.44812301552476097,0.34568125440878394,0.5441337756419989,,
helpfulness,mean,1.4127589203225366,0.9457031570315703,0.1476627680531455,0.278036721401297,0.21274579083932035,0.3968123448438444,,
helpfulness,median,1.6233234932349323,0.9381057810578105,0.020626213804208926,0.31285484005520414,0.2543993597680017,0.3851758425135894,,
helpfulness,max,2.8608019680196803,1.1262484624846247,-0.7259618718339591,0.18806651086138412,0.17182262407258472,0.18931792961085556,,
helpfulness,best_single_judge,1.6951020910209103,0.9731119311193112,-0.022678818972338588,0.23689364788018163,0.19315264203334206,0.33901941111827183,helpsteer2-correctness-judge-uncertainty-handling,-0.022598784336326894
correctness,gam,1.149530877931444,0.8516260748789422,0.30183544494106773,0.44783519935306626,0.34713003404378,0.5494499543640645,,
correctness,mean,1.415054943282766,0.9656244362443624,0.14057010226751487,0.2883084889502277,0.2220814816076711,0.40506154685546264,,
correctness,median,1.5640369003690038,0.9158671586715867,0.050086302503829394,0.3159742218834099,0.2577549360574819,0.38980578303318936,,
correctness,max,2.6083050430504304,1.0156457564575647,-0.5841472071773923,0.19996442990491756,0.18392614600915613,0.2014952929716271,,
correctness,best_single_judge,1.5855670356703566,0.8239360393603936,0.037010031460048,0.39574409622611767,0.3360807017651704,0.48497788069753184,helpsteer2-correctness-judge-factual-accuracy,-0.0004674055232107843
coherence,gam,0.38014761331477814,0.4662071771222994,0.13273008105381745,0.2788968045082755,0.22459008205597958,0.36472430013756263,,
coherence,mean,1.3380512532458655,0.9703329233292332,-2.05263419078072,0.12487554404500799,0.0997631926975573,0.218982469236378,,
coherence,median,1.2594120541205414,0.8137023370233701,-1.8732264831886192,0.15928672487475706,0.13418875306938632,0.21849452926472973,,
coherence,max,0.5553653136531366,0.3691020910209102,-0.2670121123676483,0.09095847512842935,0.08814950849195162,0.14903934459738694,,
coherence,best_single_judge,0.6421623616236163,0.42418204182041824,-0.4650311610780602,0.2532126839908822,0.2342743970191354,0.30672191147697864,helpsteer2-coherence-judge,-0.5264830384527595
complexity,gam,0.333245788805647,0.45397932734029334,0.3283113612539419,0.5488870894078591,0.4431252286291782,0.5734258553054532,,
complexity,mean,1.7421955746890807,1.1706445264452647,-2.511561175870695,0.4160453020241894,0.3305892960067998,0.42246973323408654,,
complexity,median,2.8233480934809347,1.5021402214022137,-4.69072708889503,0.25644219868957435,0.2131048616800355,0.34143548614139063,,
complexity,max,5.717726937269373,2.284526445264453,-10.524623422791333,0.0726771297704576,0.06878435172080644,0.11818021418071961,,
complexity,best_single_judge,0.7842017220172202,0.7395325953259533,-0.5806332888763437,0.46396830828150787,0.4186351640379772,0.48799974192980133,helpsteer2-complexity-judge,-0.5784466318103099
verbosity,gam,0.3349193109282797,0.4318911477313692,0.44328013305229985,0.5918392568453157,0.4835194164910661,0.6658813795311178,,
verbosity,mean,1.1999061117944514,0.9566961869618699,-0.9945448026166179,0.42075936920634344,0.3363441066410849,0.4641514639345801,,
verbosity,median,2.0466691266912673,1.2655104551045508,-2.402077236870722,0.3268785380314871,0.272405057458071,0.41011835589828827,,
verbosity,max,4.541047970479705,1.9878966789667896,-6.5483602749617384,0.11576195030808938,0.1085398274806346,0.15603082833266974,,
verbosity,best_single_judge,0.7010036900369003,0.6944157441574417,-0.16524389103010462,0.36291511453175535,0.32291821227790446,0.41891196863733404,helpsteer2-complexity-judge,-0.25821025400737985
