dimension,method,mse,mae,r2,spearman_rho,kendall_tau,pearson_r,baseline_scope,baseline_n_judges,best_judge_id,best_judge_train_r2
helpfulness,gam,1.1668970168733774,0.856478669428684,0.29599469589487426,0.44812301552476097,0.34568125440878394,0.5441337756419989,,,,
helpfulness,mean,1.710720855541889,0.9714514145141452,-0.032101838233969726,0.25106609234055766,0.1934518532231724,0.34610470630509915,dimension,6.0,,
helpfulness,median,1.8876432964329644,0.9760885608856088,-0.138841623323384,0.27623836569215326,0.22172334677768613,0.34388988187174907,dimension,6.0,,
helpfulness,max,2.230130381303813,1.0077736777367774,-0.34546887564306616,0.3428794758547498,0.3020373213264793,0.3636770553739397,dimension,6.0,,
helpfulness,best_single_judge,2.027011070110701,0.9817958179581796,-0.2229241520056009,0.3038228979178299,0.2600012835072694,0.36797220820127396,dimension,6.0,helpsteer2-helpfulness-judge,-0.23930151013366774
correctness,gam,1.149530877931444,0.8516260748789422,0.30183544494106773,0.44783519935306626,0.34713003404378,0.5494499543640645,,,,
correctness,mean,1.3995237119037858,0.8400656006560066,0.1500029547931776,0.3948104865433455,0.3098542841742397,0.4933540844022953,dimension,6.0,,
correctness,median,1.5396961869618695,0.8290036900369004,0.06486957076739175,0.40283791761648635,0.3305363519478928,0.4825690917461838,dimension,6.0,,
correctness,max,1.963820418204182,0.8876014760147601,-0.19272116548828988,0.36877679787127104,0.3276754733292141,0.4272197075840688,dimension,6.0,,
correctness,best_single_judge,1.5855670356703566,0.8239360393603936,0.037010031460048,0.39574409622611767,0.3360807017651704,0.48497788069753184,dimension,6.0,helpsteer2-correctness-judge-factual-accuracy,-0.0004674055232107843
coherence,gam,0.38014761331477814,0.4662071771222994,0.13273008105381745,0.2788968045082755,0.22459008205597958,0.36472430013756263,,,,
coherence,mean,0.6016842285089515,0.46940139401394015,-0.37268422531976775,0.25504384087766047,0.20888032953525346,0.3226294365645651,dimension,6.0,,
coherence,median,0.6497952029520295,0.43504305043050434,-0.48244474845402663,0.25845783034795866,0.2299464738967573,0.3107593561418266,dimension,6.0,,
coherence,max,0.6088856088560886,0.3889790897908979,-0.3891134763033599,0.19151194250864764,0.18338756573894227,0.22660975632325628,dimension,6.0,,
coherence,best_single_judge,0.6421623616236163,0.42418204182041824,-0.4650311610780602,0.2532126839908822,0.2342743970191354,0.30672191147697864,dimension,6.0,helpsteer2-coherence-judge,-0.5264830384527595
complexity,gam,0.333245788805647,0.45397932734029334,0.3283113612539419,0.5488870894078591,0.4431252286291782,0.5734258553054532,,,,
complexity,mean,0.5043871805384722,0.5715047150471505,-0.016640420006734935,0.5221700842653442,0.4219113683330601,0.5374305725113278,dimension,6.0,,
complexity,median,0.6863241082410825,0.6826199261992619,-0.38335163260506655,0.471789686267896,0.40758399551782604,0.4922612033547993,dimension,6.0,,
complexity,max,1.6441082410824108,1.0841328413284133,-2.313856809299032,0.2889621050997684,0.25841702527333366,0.31608131780859905,dimension,6.0,,
complexity,best_single_judge,0.7842017220172202,0.7395325953259533,-0.5806332888763437,0.46396830828150787,0.4186351640379772,0.48799974192980133,dimension,6.0,helpsteer2-complexity-judge,-0.5784466318103099
verbosity,gam,0.3349193109282797,0.4318911477313692,0.44328013305229985,0.5918392568453157,0.4835194164910661,0.6658813795311178,,,,
verbosity,mean,0.5139530545305453,0.5715990159901599,0.14568116319550972,0.5673314862673895,0.4628636217509888,0.6288204510063349,dimension,6.0,,
verbosity,median,0.8397121771217713,0.7479950799507996,-0.3958121740603493,0.5683504623303018,0.4779713366937447,0.6208110968352036,dimension,6.0,,
verbosity,max,2.5001820418204184,1.3956211562115621,-3.155929408219036,0.45427409564282456,0.3996920288853134,0.5284030253625572,dimension,6.0,,
verbosity,best_single_judge,1.06460024600246,0.8394587945879459,-0.7696325292926958,0.48933384592649254,0.42795666097549334,0.5138883100554752,dimension,6.0,helpsteer2-verbosity-judge-structural-expansion,-0.9417328182536702
