iteration	n_judges	removed	added
0	25	helpsteer2-verbosity-judge-framing-padding	None
1	24	helpsteer2-correctness-judge-requirement-coverage	None
2	23	helpsteer2-complexity-judge-lexical-sophistication	None
3	22	helpsteer2-verbosity-judge-redundancy	None
4	21	helpsteer2-helpfulness-judge-relevance-to-intent	None
5	20	helpsteer2-helpfulness-judge-organization-for-immediate-application	None
6	19	helpsteer2-verbosity-judge-extras-density	None
7	18	helpsteer2-complexity-judge-formalism-and-references	None
8	17	helpsteer2-helpfulness-judge-context-tailoring-and-assumptions	None
9	16	helpsteer2-correctness-judge-uncertainty-handling	None
10	15	helpsteer2-verbosity-judge-structural-expansion	None
11	14	helpsteer2-helpfulness-judge-actionability-and-specificity	None
12	13	helpsteer2-coherence-judge-structure-and-formatting-support	None
13	12	helpsteer2-coherence-judge-internal-consistency	None
14	11	helpsteer2-coherence-judge-referential-clarity-and-terminology	None
15	10	helpsteer2-complexity-judge-assumed-knowledge	None
16	9	helpsteer2-correctness-judge-procedural-correctness	None
17	8	helpsteer2-complexity-judge-syntactic-complexity	None
18	7	helpsteer2-helpfulness-judge-completeness-of-solution	None
19	6	helpsteer2-complexity-judge-terminology-density	None
20	5	None	None
